Headline,Author,Article Link
"Which countries have the most coronavirus vaccinations, cases and deaths?","Pablo Gutiérrez;
Seán Clarke;
Ashley Kirk;
",https://www.theguardian.com/world/2021/mar/19/covid-world-map-which-countries-have-the-most-coronavirus-vaccinations-cases-and-deaths
"Coronavirus cases, deaths and vaccinations today","Anna Leach;
Seán Clarke;
Ashley Kirk;
",https://www.theguardian.com/world/2021/apr/12/covid-uk-coronavirus-cases-deaths-and-vaccinations-today
Latest cases state by state,,https://www.theguardian.com/world/ng-interactive/2020/sep/21/coronavirus-covid-19-map-us-cases-deaths-state-by-state
"Tracking new and active cases, Covid stats and live data by state","Nick Evershed;
Andy Ball;
Hannah Izzard;
Patrick Lum;
Nick Evershed;
Andy Ball;
Hannah Izzard;
Patrick Lum;
",https://www.theguardian.com/australia-news/datablog/ng-interactive/2020/oct/20/coronavirus-australia-map-cases-covid-19-tracking-stats-live-data-update-by-state-suburb-postcode-how-many-new-active-case-numbers-today-statistics-corona-deaths-death-toll
"Retail footfall jumps as non-essential shops, pubs and restaurants reopen – business live","Graeme Wearden;
",https://www.theguardian.com/business/live/2021/apr/12/business-confidence-shops-pubs-restaurants-reopen-primark-ftse-stock-market-business-live
Biden to meet with bipartisan group to discuss $2tn infrastructure plan – live,"Joan E Greve;
",https://www.theguardian.com/us-news/live/2021/apr/12/joe-biden-covid-coronavirus-politics-latest-live-updates
"UK Covid live news: vaccinations to be rolled out to over-40s this week, says NHS chief","Jedidajah Otte;
Rhi Storer;
",https://www.theguardian.com/politics/live/2021/apr/12/uk-covid-live-news-england-coronavirus-cold-weather-lockdown-pubs-restaurants-vaccine-latest-updates
Apple and Google block NHS Covid app update over privacy breaches,"Alex Hern;
",https://www.theguardian.com/world/2021/apr/12/apple-and-google-block-nhs-covid-app-update-over-privacy-breaches
Coronavirus live news: India overtakes Brazil in cases; Italy row over plans for ‘Covid-free’ holiday islands,"Lucy Campbell;
Nadeem Badshah;
Martin Belam;
Helen Sullivan;
",https://www.theguardian.com/world/live/2021/apr/12/coronavirus-live-news-warning-as-english-pub-gardens-reopen-india-sees-record-case-rise-overtaking-brazil-total
Asthma drug helps older people cope with Covid at home – study,"Sarah Boseley;
",https://www.theguardian.com/world/2021/apr/12/asthma-drug-budesonide-helps-older-people-cope-with-covid-at-home-study
‘It’s like a celebration’ for the animals and staff as Twycross zoo reopens,"Jessica Murray;
",https://www.theguardian.com/world/2021/apr/12/celebration-animals-staff-twycross-zoo-reopens-after-covid-lockdown
Ganges crowds highlight distancing challenges as Covid cases soar in India,"Michael Safi;
Amrit Dhillon;
",https://www.theguardian.com/world/2021/apr/12/ganges-crowds-highlight-distancing-challenges-as-covid-cases-soar-in-india
Shoppers surge back to high streets as Covid lockdown eases in England,"Sarah Butler;
",https://www.theguardian.com/business/2021/apr/12/stores-covid-lockdown-england-primark-zara-uniqlo-john-lewis
Spring cold snap hits as England relaxes Covid lockdown restrictions,"Kevin Rawlinson;
",https://www.theguardian.com/uk-news/2021/apr/12/spring-cold-snap-hits-as-england-relaxes-covid-lockdown-restrictions
Covid vaccine passports: what can we learn from Israel? – video explainer,,https://www.theguardian.com/world/video/2021/apr/12/covid-vaccine-passports-what-can-we-learn-from-israel-video-explainer
Covid vaccine passports: what can we learn from Israel? – video explainer,,https://www.theguardian.com/world/video/2021/apr/12/covid-vaccine-passports-what-can-we-learn-from-israel-video-explainer
What are the new Covid rules in England from 12 April?,"Rhi Storer;
",https://www.theguardian.com/world/2021/apr/11/what-new-covid-rules-england-12-april
From reassurance to shambles: how Australia’s coronavirus vaccine rollout unravelled,"Elias Visontay;
",https://www.theguardian.com/society/2021/apr/10/from-reassurance-to-shambles-how-australias-coronavirus-vaccine-rollout-unravelled
England’s traffic light system: what does it mean for holidaymakers?,"Rupert Jones;
",https://www.theguardian.com/business/2021/apr/09/england-traffic-light-system-what-does-it-mean-for-holidaymakers-covid
Is vaccinating against Covid enough? What we can learn from Chile and Israel,"Robin McKie;
",https://www.theguardian.com/society/2021/apr/11/is-vaccinating-against-covid-enough-what-we-can-learn-from-other-countries
How long before Australia is fully vaccinated against Covid?,"Josh Nicholas;
",https://www.theguardian.com/news/datablog/2021/apr/08/how-long-before-australia-is-fully-vaccinated-against-covid
What does Moderna's Covid jab mean for the UK vaccine rollout?,"Natalie Grover;
Nicola Davis;
",https://www.theguardian.com/society/2021/mar/28/what-does-modernas-covid-jab-mean-for-the-uk-vaccine-rollout
AstraZeneca jab ‘course correction’ could dent confidence outside UK,"Sarah Boseley;
",https://www.theguardian.com/society/2021/apr/07/astrazeneca-jab-course-correction-could-dent-confidence-beyond-uk
"Why Godzilla vs. Kong saved cinema, not Tenet",,https://www.theguardian.com/film/2021/apr/07/why-godzilla-vs-kong-saved-cinema-not-tenet
"NHS staff are suffering from ‘moral injury’, a distress usually associated with war zones","Mariam Alexander;
",https://www.theguardian.com/commentisfree/2021/apr/12/nhs-staff-moral-injury-distress-associated-with-war-zones-pandemic
The G7 must push for global vaccination. Here’s how it could do it,"Gordon Brown;
",https://www.theguardian.com/commentisfree/2021/apr/12/g7-global-vaccination-covid
Ben Jennings on the easing of England’s Covid restrictions – cartoon ,"Ben Jennings;
",https://www.theguardian.com/commentisfree/picture/2021/apr/11/ben-jennings-on-the-easing-of-englands-covid-restrictions-cartoon
Australia’s vaccination rollout strategy has been an epic fail. Now Scott Morrison is trying to gaslight us,"Kevin Rudd;
",https://www.theguardian.com/commentisfree/2021/apr/12/australias-vaccination-rollout-strategy-has-been-an-epic-fail-now-scott-morrison-is-trying-to-gaslight-us
The Guardian of view of Boris Johnson’s folly: a plan to divide and misrule,"Editorial;
",https://www.theguardian.com/commentisfree/2021/apr/11/the-guardian-of-view-of-boris-johnsons-folly-a-plan-to-divide-and-misrule
Hottest front-room seats: the best theatre and dance to watch online,"Chris Wiegand;
",https://www.theguardian.com/stage/2020/mar/17/hottest-front-room-seats-the-best-theatre-and-dance-to-watch-online
Shutting up shop: high street names we’ll see no more,"Joanna Partridge;
",https://www.theguardian.com/business/2021/apr/11/shutting-up-shop-high-street-names-well-see-no-more
Canada ski resort linked to largest outbreak of P1 Covid variant outside Brazil,"Leyland Cecco;
",https://www.theguardian.com/world/2021/apr/11/canada-ski-resort-p1-covid-variant-whistler
We are open: England gears up for the beginning of the end of lockdown,"Toby Helm;
Robin McKie;
",https://www.theguardian.com/uk-news/2021/apr/11/we-are-open-england-gears-up-for-the-beginning-of-the-end-of-lockdown
Me and my ‘she shed’: women on the joys of their garden retreats,"Nell Card;
",https://www.theguardian.com/lifeandstyle/2021/apr/11/me-and-my-she-shed-women-on-discovering-what-a-life-saver-theier-own-private-shed-can-be
Has your family been affected by the Brazilian or South African variants of Covid-19?,"Guardian community team;
",https://www.theguardian.com/society/2021/mar/08/has-your-family-been-affected-by-the-brazilian-or-south-african-variants-of-covid-19
What precautions are you taking?,"Guardian community team;
",https://www.theguardian.com/world/2020/feb/11/what-coronavirus-precautions-are-you-taking
What do you want to know about coronavirus in the UK?,"Guardian community team;
",https://www.theguardian.com/world/2020/oct/06/send-in-your-questions-what-do-you-want-to-know-about-coronavirus-in-the-uk
How have you been affected?,"Guardian community team;
",https://www.theguardian.com/science/2020/jan/23/tell-us-have-you-been-affected-by-the-coronavirus
20 photographs of the week,"Jim Powell;
",https://www.theguardian.com/artanddesign/gallery/2021/apr/09/20-photographs-of-the-week
Scott Morrison announces 20m more Pfizer vaccine doses after AstraZeneca rollout issues – video,,https://www.theguardian.com/australia-news/video/2021/apr/09/scott-morrison-announces-20m-more-pfizer-vaccine-doses-after-astrazeneca-rollout-issues-video
"UK Covid variant now most common in US, says CDC chief – video",,https://www.theguardian.com/world/video/2021/apr/08/uk-covid-variant-now-most-common-in-us-says-cdc-chief-video
Covid-19 and 100 days that transformed the world: the 17 April edition of the Guardian Weekly,"Will Dean;
",https://www.theguardian.com/news/2020/apr/15/covid-19-and-100-days-that-transformed-the-world-the-17-april-edition-of-the-guardian-weekly
Coronavirus: who will be winners and losers in new world order?,"Patrick Wintour;
",https://www.theguardian.com/world/2020/apr/11/coronavirus-who-will-be-winners-and-losers-in-new-world-order
'We stand together': how students are helping NHS during coronavirus crisis,"Molly Blackall;
",https://www.theguardian.com/world/2020/apr/10/schools-students-teacher-nhs-coronavirus-ppe
Birth of a pandemic: inside the first weeks of the coronavirus outbreak in Wuhan,"Lily Kuo;
",https://www.theguardian.com/world/2020/apr/10/birth-of-a-pandemic-inside-the-first-weeks-of-the-coronavirus-outbreak-in-wuhan
Tech giants struggle to stem 'infodemic' of false coronavirus claims,"Julia Carrie Wong;
",https://www.theguardian.com/world/2020/apr/10/tech-giants-struggle-stem-infodemic-false-coronavirus-claims
Coronavirus live news: India overtakes Brazil in cases; Italy row over plans for ‘Covid-free’ holiday islands,"Lucy Campbell;
Nadeem Badshah;
Martin Belam;
Helen Sullivan;
",https://www.theguardian.com/world/live/2021/apr/12/coronavirus-live-news-warning-as-english-pub-gardens-reopen-india-sees-record-case-rise-overtaking-brazil-total
Cambodia condemns Vice for edited photos of Khmer Rouge victims smiling,"Rebecca Ratcliffe;
",https://www.theguardian.com/world/2021/apr/12/cambodia-vice-edited-photos-khmer-rouge-victims-smiling-tuol-sleng-prison-genocide
Natanz nuclear plant attack ‘will set back Iran’s programme by nine months’,"Patrick Wintour;
",https://www.theguardian.com/world/2021/apr/12/iran-blames-israel-attack-natanz-nuclear-plant
Canada ski resort linked to largest outbreak of P1 Covid variant outside Brazil,"Leyland Cecco;
",https://www.theguardian.com/world/2021/apr/11/canada-ski-resort-p1-covid-variant-whistler
"Covid-status certificates could lead to deliberate infections, scientists warn","Sarah Boseley;
",https://www.theguardian.com/world/2021/apr/11/covid-status-certificates-could-lead-to-deliberate-infections-scientists-warn
Ardern tells New Zealand border staff: get Covid vaccine now or be redeployed,"Helen Livingstone;
",https://www.theguardian.com/world/2021/apr/12/ardern-new-zealand-border-staff-covid-vaccine
Israel appears to confirm it carried out cyberattack on Iran nuclear facility,"Martin Chulov;
",https://www.theguardian.com/world/2021/apr/11/israel-appears-confirm-cyberattack-iran-nuclear-facility
Bodies credited in UK race review distance themselves from findings,"Aamna Mohdin;
Peter Walker;
",https://www.theguardian.com/world/2021/apr/12/bodies-credited-in-uk-race-review-distance-themselves-from-findings
"Covid UK: coronavirus cases, deaths and vaccinations today","Anna Leach;
Seán Clarke;
Ashley Kirk;
",https://www.theguardian.com/world/2021/apr/12/covid-uk-coronavirus-cases-deaths-and-vaccinations-today
Republicans push ‘tsunami’ of harsh anti-protest laws after BLM rallies,"Adam Gabbatt;
",https://www.theguardian.com/world/2021/apr/12/republicans-push-anti-protest-laws-blm-demonstrations
